,index,chain,occurrences,chain_probability,strange_paths,harmful_processes,total_score
0,52,"('C:/Users/Public/splunkd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe')",1,0.0049504950495049506,1,0.75,0.8735148514851485
1,64,"('C:/Windows/System32/whoami.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/wscript.exe', 'C:/Windows/explorer.exe')",1,0.0049504950495049506,0,0.75,0.6735148514851486
2,34,"('C:/Windows/System32/shutdown.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe')",1,0.0049504950495049506,0,0.75,0.6735148514851486
3,62,"('C:/Windows/System32/conhost.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/wscript.exe', 'C:/Windows/explorer.exe')",1,0.0049504950495049506,0,0.75,0.6735148514851486
4,57,"('C:/Windows/System32/reg.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/cmd.exe')",1,0.0049504950495049506,0,0.75,0.6735148514851486
5,20,"('C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe')",3,0.01485148514851485,0,0.75,0.6705445544554456
6,18,"('C:/Windows/System32/chcp.com', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe')",3,0.01485148514851485,0,0.75,0.6705445544554456
7,56,"('C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.5,0.5485148514851486
8,55,"('C:/Windows/System32/whoami.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.5,0.5485148514851486
9,60,"('C:/Windows/System32/wbem/WMIC.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.5,0.5485148514851486
10,58,"('C:/Windows/System32/ntdsutil.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",1,0.0049504950495049506,0,0.5,0.5485148514851486
11,29,"('C:/Windows/System32/vssadmin.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.5,0.5470297029702971
12,30,"('C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",2,0.009900990099009901,0,0.5,0.5470297029702971
13,19,"('C:/Windows/Microsoft.NET/Framework64/v4.0.30319/cvtres.exe', 'C:/Windows/Microsoft.NET/Framework64/v4.0.30319/csc.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe')",3,0.01485148514851485,0,0.5,0.5455445544554456
14,22,"('C:/Windows/System32/whoami.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",3,0.01485148514851485,0,0.5,0.5455445544554456
15,23,"('C:/Windows/System32/HOSTNAME.EXE', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/WindowsPowerShell/v1.0/powershell.exe', 'C:/Windows/System32/cmd.exe', 'C:/Windows/System32/winrshost.exe', 'C:/Windows/System32/svchost.exe', 'C:/Windows/System32/services.exe', 'C:/Windows/System32/wininit.exe', 'C:/Windows/System32/smss.exe', 'C:/Windows/System32/smss.exe')",3,0.01485148514851485,0,0.5,0.5455445544554456
